original_SR Number,original_Address,original_RequestDate,original_Field 4,original_Num Trees,original_House Number,original_Street,original_City,original_State,original_Full Address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
SR23-02133422,2964 S ARCHER,12/10/2023," 1:29:28 PM",1,2964," S ARCHER",Chicago,IL,"2964  S ARCHER, Chicago , IL",41.840884,-87.660168,"2964 South Archer Avenue, Chicago, IL, United States of America",,2964,South Archer Avenue,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133424,3000 S ARCHER,12/10/2023," 1:29:42 PM",3,3000," S ARCHER",Chicago,IL,"3000  S ARCHER, Chicago , IL",41.840184,-87.661529,"3000 South Archer Avenue, Chicago, IL 60608, United States of America",,3000,South Archer Avenue,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133428,3356 S ARCHER,12/10/2023," 1:29:57 PM",1,3356," S ARCHER",Chicago,IL,"3356  S ARCHER, Chicago , IL",41.833054,-87.673659,"3356 South Archer Avenue, Chicago, IL 60608, United States of America",,3356,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133429,3354 S ARCHER,12/10/2023," 1:30:12 PM",1,3354," S ARCHER",Chicago,IL,"3354  S ARCHER, Chicago , IL",41.8330908,-87.6732538,"3354 South Archer Avenue, Chicago, IL, United States of America",,3354,South Archer Avenue,,Chicago,Brighton Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133430,3352 S ARCHER,12/10/2023," 1:30:27 PM",1,3352," S ARCHER",Chicago,IL,"3352  S ARCHER, Chicago , IL",41.833163,-87.673663,"3352 South Archer Avenue, Chicago, IL, United States of America",,3352,South Archer Avenue,,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133431,3350 S ARCHER,12/10/2023," 1:30:42 PM",1,3350," S ARCHER",Chicago,IL,"3350  S ARCHER, Chicago , IL",41.833207,-87.673592,"3350 South Archer Avenue, Chicago, IL, United States of America",,3350,South Archer Avenue,,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133435,3348 S ARCHER,12/10/2023," 1:30:57 PM",1,3348," S ARCHER",Chicago,IL,"3348  S ARCHER, Chicago , IL",41.833258,-87.673538,"3348 South Archer Avenue, Chicago, IL 60608, United States of America",,3348,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133436,3346 S ARCHER,12/10/2023," 1:31:13 PM",1,3346," S ARCHER",Chicago,IL,"3346  S ARCHER, Chicago , IL",41.8332372,-87.6730127,"3346 South Archer Avenue, Chicago, IL, United States of America",,3346,South Archer Avenue,,Chicago,Brighton Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133438,3344 S ARCHER,12/10/2023," 1:31:28 PM",1,3344," S ARCHER",Chicago,IL,"3344  S ARCHER, Chicago , IL",41.833304,-87.673463,"3344 South Archer Avenue, Chicago, IL 60608, United States of America",,3344,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133439,3342 S ARCHER,12/10/2023," 1:31:42 PM",1,3342," S ARCHER",Chicago,IL,"3342  S ARCHER, Chicago , IL",41.833345,-87.673395,"3342 South Archer Avenue, Chicago, IL 60608, United States of America",,3342,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133441,3340 S ARCHER,12/10/2023," 1:31:56 PM",1,3340," S ARCHER",Chicago,IL,"3340  S ARCHER, Chicago , IL",41.833386,-87.673326,"3340 South Archer Avenue, Chicago, IL 60608, United States of America",,3340,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133444,3338 S ARCHER,12/10/2023," 1:32:11 PM",1,3338," S ARCHER",Chicago,IL,"3338  S ARCHER, Chicago , IL",41.83343,-87.673254,"3338 South Archer Avenue, Chicago, IL 60608, United States of America",,3338,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133445,3336 S ARCHER,12/10/2023," 1:32:25 PM",1,3336," S ARCHER",Chicago,IL,"3336  S ARCHER, Chicago , IL",41.833476,-87.673184,"3336 South Archer Avenue, Chicago, IL 60608, United States of America",,3336,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133448,3334 S ARCHER,12/10/2023," 1:32:40 PM",1,3334," S ARCHER",Chicago,IL,"3334  S ARCHER, Chicago , IL",41.8333903,-87.6727617,"3334 South Archer Avenue, Chicago, IL, United States of America",,3334,South Archer Avenue,,Chicago,Brighton Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133449,3332 S ARCHER,12/10/2023," 1:32:54 PM",1,3332," S ARCHER",Chicago,IL,"3332  S ARCHER, Chicago , IL",41.833517,-87.67311,"3332 South Archer Avenue, Chicago, IL 60608, United States of America",,3332,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133452,3330 S ARCHER,12/10/2023," 1:33:09 PM",1,3330," S ARCHER",Chicago,IL,"3330  S ARCHER, Chicago , IL",41.833563,-87.673041,"3330 South Archer Avenue, Chicago, IL 60608, United States of America",,3330,South Archer Avenue,60608,Chicago,McKinley Park,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133556,2999 S LOOMIS,12/10/2023," 2:03:41 PM",4,2999," S LOOMIS",Chicago,IL,"2999  S LOOMIS, Chicago , IL",41.83974,-87.655907,"2999 South Loomis Street, Chicago, IL, United States of America",,2999,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133557,3004 S LOOMIS,12/10/2023," 2:03:54 PM",1,3004," S LOOMIS",Chicago,IL,"3004  S LOOMIS, Chicago , IL",41.839465,-87.656008,"3004 South Loomis Street, Chicago, IL 60608, United States of America",,3004,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133559,3006 S LOOMIS,12/10/2023," 2:04:06 PM",1,3006," S LOOMIS",Chicago,IL,"3006  S LOOMIS, Chicago , IL",41.839419,-87.655937,"3006 South Loomis Street, Chicago, IL 60608, United States of America",,3006,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133560,3008 S LOOMIS,12/10/2023," 2:04:18 PM",1,3008," S LOOMIS",Chicago,IL,"3008  S LOOMIS, Chicago , IL",41.839374,-87.655863,"3008 South Loomis Street, Chicago, IL 60608, United States of America",,3008,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133561,3012 S LOOMIS,12/10/2023," 2:04:31 PM",1,3012," S LOOMIS",Chicago,IL,"3012  S LOOMIS, Chicago , IL",41.8393964,-87.6556084,"3012 South Loomis Street, Chicago, IL, United States of America",,3012,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133563,3014 S LOOMIS,12/10/2023," 2:04:43 PM",1,3014," S LOOMIS",Chicago,IL,"3014  S LOOMIS, Chicago , IL",41.839207,-87.65576,"3014 South Loomis Street, Chicago, IL 60608, United States of America",,3014,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133564,3016 S LOOMIS,12/10/2023," 2:04:56 PM",1,3016," S LOOMIS",Chicago,IL,"3016  S LOOMIS, Chicago , IL",41.8392924,-87.655519,"3016 South Loomis Street, Chicago, IL, United States of America",,3016,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133567,3018 S LOOMIS,12/10/2023," 2:05:09 PM",1,3018," S LOOMIS",Chicago,IL,"3018  S LOOMIS, Chicago , IL",41.839142,-87.655648,"3018 South Loomis Street, Chicago, IL 60608, United States of America",,3018,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133568,3020 S LOOMIS,12/10/2023," 2:05:22 PM",1,3020," S LOOMIS",Chicago,IL,"3020  S LOOMIS, Chicago , IL",41.839063,-87.65564,"3020 South Loomis Street, Chicago, IL 60608, United States of America",,3020,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133570,3022 S LOOMIS,12/10/2023," 2:05:35 PM",1,3022," S LOOMIS",Chicago,IL,"3022  S LOOMIS, Chicago , IL",41.8391833,-87.6554253,"3022 South Loomis Street, Chicago, IL, United States of America",,3022,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133572,3024 S LOOMIS,12/10/2023," 2:05:48 PM",1,3024," S LOOMIS",Chicago,IL,"3024  S LOOMIS, Chicago , IL",41.838996,-87.655614,"3024 South Loomis Street, Chicago, IL 60608, United States of America",,3024,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133574,3026 S LOOMIS,12/10/2023," 2:06:00 PM",1,3026," S LOOMIS",Chicago,IL,"3026  S LOOMIS, Chicago , IL",41.838916,-87.655603,"3026 South Loomis Street, Chicago, IL, United States of America",,3026,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133576,3028 S LOOMIS,12/10/2023," 2:06:12 PM",1,3028," S LOOMIS",Chicago,IL,"3028  S LOOMIS, Chicago , IL",41.8381011,-87.6544941,"3028 South Loomis Street, Chicago, IL, United States of America",,3028,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133577,3030 S LOOMIS,12/10/2023," 2:06:24 PM",1,3030," S LOOMIS",Chicago,IL,"3030  S LOOMIS, Chicago , IL",41.83889,-87.655469,"3030 South Loomis Street, Chicago, IL 60608, United States of America",,3030,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133579,3032 S LOOMIS,12/10/2023," 2:06:37 PM",1,3032," S LOOMIS",Chicago,IL,"3032  S LOOMIS, Chicago , IL",41.838796,-87.655445,"3032 South Loomis Street, Chicago, IL 60608, United States of America",,3032,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133581,3034 S LOOMIS,12/10/2023," 2:06:50 PM",1,3034," S LOOMIS",Chicago,IL,"3034  S LOOMIS, Chicago , IL",41.838743,-87.655376,"3034 South Loomis Street, Chicago, IL 60608, United States of America",,3034,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133582,3038 S LOOMIS,12/10/2023," 2:07:03 PM",1,3038," S LOOMIS",Chicago,IL,"3038  S LOOMIS, Chicago , IL",41.838634,-87.655263,"3038 South Loomis Street, Chicago, IL 60608, United States of America",,3038,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133585,3040 S LOOMIS,12/10/2023," 2:07:15 PM",1,3040," S LOOMIS",Chicago,IL,"3040  S LOOMIS, Chicago , IL",41.8387334,-87.6550386,"3040 South Loomis Street, Chicago, IL, United States of America",,3040,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133587,3042 S LOOMIS,12/10/2023," 2:07:27 PM",1,3042," S LOOMIS",Chicago,IL,"3042  S LOOMIS, Chicago , IL",41.838571,-87.655208,"3042 South Loomis Street, Chicago, IL 60608, United States of America",,3042,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133589,3044 S LOOMIS,12/10/2023," 2:07:40 PM",1,3044," S LOOMIS",Chicago,IL,"3044  S LOOMIS, Chicago , IL",41.838518,-87.655141,"3044 South Loomis Street, Chicago, IL 60608, United States of America",,3044,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133596,3046 S LOOMIS,12/10/2023," 2:11:35 PM",1,3046," S LOOMIS",Chicago,IL,"3046  S LOOMIS, Chicago , IL",41.838436,-87.655139,"3046 South Loomis Street, Chicago, IL 60608, United States of America",,3046,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133597,3048 S LOOMIS,12/10/2023," 2:11:52 PM",1,3048," S LOOMIS",Chicago,IL,"3048  S LOOMIS, Chicago , IL",41.838367,-87.655069,"3048 South Loomis Street, Chicago, IL 60608, United States of America",,3048,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133598,3050 S LOOMIS,12/10/2023," 2:12:10 PM",1,3050," S LOOMIS",Chicago,IL,"3050  S LOOMIS, Chicago , IL",41.838329,-87.654988,"3050 South Loomis Street, Chicago, IL 60608, United States of America",,3050,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133599,3052 S LOOMIS,12/10/2023," 2:12:27 PM",1,3052," S LOOMIS",Chicago,IL,"3052  S LOOMIS, Chicago , IL",41.838304,-87.654904,"3052 South Loomis Street, Chicago, IL 60608, United States of America",,3052,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133602,3054 S LOOMIS,12/10/2023," 2:12:44 PM",1,3054," S LOOMIS",Chicago,IL,"3054  S LOOMIS, Chicago , IL",41.83821,-87.654905,"3054 South Loomis Street, Chicago, IL 60608, United States of America",,3054,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133606,3051 S LOOMIS,12/10/2023," 2:13:01 PM",1,3051," S LOOMIS",Chicago,IL,"3051  S LOOMIS, Chicago , IL",41.8384061,-87.6547572,"3051 South Loomis Street, Chicago, IL, United States of America",,3051,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133608,3049 S LOOMIS,12/10/2023," 2:13:18 PM",1,3049," S LOOMIS",Chicago,IL,"3049  S LOOMIS, Chicago , IL",41.838639,-87.65464,"3049 South Loomis Street, Chicago, IL 60608, United States of America",,3049,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133609,3047 S LOOMIS,12/10/2023," 2:13:43 PM",1,3047," S LOOMIS",Chicago,IL,"3047  S LOOMIS, Chicago , IL",41.838701,-87.654674,"3047 South Loomis Street, Chicago, IL 60608, United States of America",,3047,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133611,3045 S LOOMIS,12/10/2023," 2:14:01 PM",1,3045," S LOOMIS",Chicago,IL,"3045  S LOOMIS, Chicago , IL",41.838745,-87.654754,"3045 South Loomis Street, Chicago, IL 60608, United States of America",,3045,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133613,3043 S LOOMIS,12/10/2023," 2:14:18 PM",1,3043," S LOOMIS",Chicago,IL,"3043  S LOOMIS, Chicago , IL",41.838806,-87.654796,"3043 South Loomis Street, Chicago, IL 60608, United States of America",,3043,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133615,3041 S LOOMIS,12/10/2023," 2:14:35 PM",1,3041," S LOOMIS",Chicago,IL,"3041  S LOOMIS, Chicago , IL",41.8387047,-87.6550138,"3041 South Loomis Street, Chicago, IL, United States of America",,3041,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133619,3039 S LOOMIS,12/10/2023," 2:14:52 PM",1,3039," S LOOMIS",Chicago,IL,"3039  S LOOMIS, Chicago , IL",41.838851,-87.654878,"3039 South Loomis Street, Chicago, IL 60608, United States of America",,3039,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133620,3037 S LOOMIS,12/10/2023," 2:15:09 PM",1,3037," S LOOMIS",Chicago,IL,"3037  S LOOMIS, Chicago , IL",41.838918,-87.654903,"3037 South Loomis Street, Chicago, IL 60608, United States of America",,3037,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133622,3035 S LOOMIS,12/10/2023," 2:15:26 PM",1,3035," S LOOMIS",Chicago,IL,"3035  S LOOMIS, Chicago , IL",41.838989,-87.654933,"3035 South Loomis Street, Chicago, IL 60608, United States of America",,3035,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133626,3033 S LOOMIS,12/10/2023," 2:15:43 PM",1,3033," S LOOMIS",Chicago,IL,"3033  S LOOMIS, Chicago , IL",41.8388848,-87.6551687,"3033 South Loomis Street, Chicago, IL, United States of America",,3033,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133629,3031 S LOOMIS,12/10/2023," 2:16:00 PM",1,3031," S LOOMIS",Chicago,IL,"3031  S LOOMIS, Chicago , IL",41.83902,-87.655025,"3031 South Loomis Street, Chicago, IL 60608, United States of America",,3031,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133630,3029 S LOOMIS,12/10/2023," 2:16:17 PM",1,3029," S LOOMIS",Chicago,IL,"3029  S LOOMIS, Chicago , IL",41.839086,-87.655055,"3029 South Loomis Street, Chicago, IL 60608, United States of America",,3029,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133633,3027 S LOOMIS,12/10/2023," 2:16:39 PM",1,3027," S LOOMIS",Chicago,IL,"3027  S LOOMIS, Chicago , IL",41.839163,-87.655057,"3027 South Loomis Street, Chicago, IL 60608, United States of America",,3027,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133637,3025 S LOOMIS,12/10/2023," 2:16:54 PM",1,3025," S LOOMIS",Chicago,IL,"3025  S LOOMIS, Chicago , IL",41.839194,-87.655162,"3025 South Loomis Street, Chicago, IL 60608, United States of America",,3025,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133639,3023 S LOOMIS,12/10/2023," 2:17:07 PM",1,3023," S LOOMIS",Chicago,IL,"3023  S LOOMIS, Chicago , IL",41.839244,-87.655217,"3023 South Loomis Street, Chicago, IL 60608, United States of America",,3023,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133641,3021 S LOOMIS,12/10/2023," 2:17:21 PM",1,3021," S LOOMIS",Chicago,IL,"3021  S LOOMIS, Chicago , IL",41.839319,-87.655223,"3021 South Loomis Street, Chicago, IL 60608, United States of America",,3021,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133642,3019 S LOOMIS,12/10/2023," 2:17:35 PM",1,3019," S LOOMIS",Chicago,IL,"3019  S LOOMIS, Chicago , IL",41.8392,-87.6554396,"3019 South Loomis Street, Chicago, IL, United States of America",,3019,South Loomis Street,,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,,,
SR23-02133643,3017 S LOOMIS,12/10/2023," 2:17:49 PM",1,3017," S LOOMIS",Chicago,IL,"3017  S LOOMIS, Chicago , IL",41.839375,-87.655265,"3017 South Loomis Street, Chicago, IL 60608, United States of America",,3017,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133644,3015 S LOOMIS,12/10/2023," 2:18:02 PM",1,3015," S LOOMIS",Chicago,IL,"3015  S LOOMIS, Chicago , IL",41.839425,-87.655321,"3015 South Loomis Street, Chicago, IL 60608, United States of America",,3015,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02133645,3013 S LOOMIS,12/10/2023," 2:18:16 PM",1,3013," S LOOMIS",Chicago,IL,"3013  S LOOMIS, Chicago , IL",41.839479,-87.655363,"3013 South Loomis Street, Chicago, IL 60608, United States of America",,3013,South Loomis Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR Number,Address,RequestDate,Field 4,Field 5,#ERROR!,Address,Chicago,IL,#ERROR!,41.8755616,-87.6244212,"Chicago, IL, United States of America",,,,,,,Chicago,Cook County,Illinois,IL,United States,us,0.25,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
SR23-02093446,2859 S KEELEY,12/4/2023," 9:08:45 AM",,2859," S KEELEY",Chicago,IL,"2859  S KEELEY, Chicago , IL",41.841479,-87.654044,"2859 South Keeley Street, Chicago, IL 60608, United States of America",,2859,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093512,2857 S KEELEY,12/4/2023," 9:08:45 AM",,2857," S KEELEY",Chicago,IL,"2857  S KEELEY, Chicago , IL",41.841537,-87.654092,"2857 South Keeley Street, Chicago, IL 60608, United States of America",,2857,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093525,2855 S KEELEY,12/4/2023," 9:08:45 AM",,2855," S KEELEY",Chicago,IL,"2855  S KEELEY, Chicago , IL",41.841589,-87.654152,"2855 South Keeley Street, Chicago, IL 60608, United States of America",,2855,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093714,2851 S KEELEY,12/4/2023," 9:08:45 AM",,2851," S KEELEY",Chicago,IL,"2851  S KEELEY, Chicago , IL",41.841645,-87.654206,"2851 South Keeley Street, Chicago, IL 60608, United States of America",,2851,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093717,2849 S KEELEY,12/4/2023," 9:08:45 AM",,2849," S KEELEY",Chicago,IL,"2849  S KEELEY, Chicago , IL",41.841702,-87.654241,"2849 South Keeley Street, Chicago, IL 60608, United States of America",,2849,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093766,2847 S KEELEY,12/4/2023," 9:08:45 AM",,2847," S KEELEY",Chicago,IL,"2847  S KEELEY, Chicago , IL",41.841759,-87.654292,"2847 South Keeley Street, Chicago, IL 60608, United States of America",,2847,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093768,2845 S KEELEY,12/4/2023," 9:08:45 AM",,2845," S KEELEY",Chicago,IL,"2845  S KEELEY, Chicago , IL",41.841816,-87.654343,"2845 South Keeley Street, Chicago, IL 60608, United States of America",,2845,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093815,2837 S KEELEY,12/4/2023," 9:08:45 AM",,2837," S KEELEY",Chicago,IL,"2837  S KEELEY, Chicago , IL",41.841992,-87.654515,"2837 South Keeley Street, Chicago, IL 60608, United States of America",,2837,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
SR23-02093818,2835 S KEELEY,12/4/2023," 9:08:45 AM",,2835," S KEELEY",Chicago,IL,"2835  S KEELEY, Chicago , IL",41.842047,-87.65455,"2835 South Keeley Street, Chicago, IL 60608, United States of America",,2835,South Keeley Street,60608,Chicago,Bridgeport,Chicago,Cook County,Illinois,IL,United States,us,0.7,1,0.7,© OpenAddresses contributors,BSD-3-Clause License,
